"variance","kurtosis","skewness","entropy","class"
0.768908896776614,0.839642727514247,0.104073317115537,0.737681698465992,-1
0.786540847834242,0.416648269204144,0.308516935787031,0.793316110094694,-1
0.757005165497937,0.871699214584261,0.0520539421776497,0.42128912925471,-1
0.531385450033186,0.348662473292497,0.422917215781673,0.683216389553469,-1
0.7667157244683,0.628108079791354,0.256868294495599,0.839332314682643,-1
0.738723920006926,0.730855725227973,0.192818223848803,0.721042843643821,-1
0.79547946786714,0.414092581020554,0.328842472767496,0.869359054263254,-1
0.393876432054945,0.921099207848919,0.335392964702527,0.48745451255554,-1
0.753210400253946,0.841887841584751,0.096114210160176,0.725072880435875,-1
0.700393905289585,0.630042619748772,0.241429701036585,0.841541848448903,-1
0.565603988110697,0.621911564956763,0.413069873354275,0.843100987152938,-1
0.925107494300638,0.810609660725845,0.112183655744859,0.733651661673938,-1
0.531382564280149,0.348662473292497,0.422917215781673,0.683216389553469,-1
0.827504112198078,0.885327056992221,0.0231773342608876,0.405818371901325,-1
0.59010763858829,0.375375588874711,0.466381198878293,0.718703632964072,-1
0.480063775142123,0.829345137644202,0.318809331426374,0.406602464866604,-1
0.981134389518945,0.88277136880863,0.0347660013913314,0.458342548101088,-1
0.860459411883531,0.389703158501312,0.373157674143273,0.89223747964374,-1
0.615011687299801,0.6511017897301,0.368309618766554,0.831792959247271,-1
0.817627622428073,0.800386907991484,0.122216797085982,0.685946641468465,-1
0.391033965313249,0.545644291610383,0.578080913266475,0.843751382215163,-1
0.683598822612761,0.756408865207093,0.190485799345815,0.713113452220591,-1
0.49275675987649,0.860395065239273,0.0653104786266436,0.0980116206598444,-1
0.507135608749603,0.863104169551015,0.207553373978646,0.585204768893625,-1
0.577209043950019,0.733875403652801,0.325770309333587,0.789286575926335,-1
0.658002193172308,0.763297623546756,0.246279484775291,0.560113794004705,-1
0.625580757798748,0.638327090668932,0.349613062959906,0.791366332254368,-1
0.81957550572822,0.332636100685882,0.373823093508704,0.724552162287139,-1
0.734539578102906,0.733332834419095,0.203147779270891,0.632391081445144,-1
0.691527429082619,0.745490127110875,0.175229980167046,0.658256096825429,-1
0.692573514558624,0.768951569147643,0.198593545432155,0.821393674983413,-1
0.451152136900124,0.940455832993448,0.20910846767747,0.0739661030579626,-1
0.543463047932358,0.722182101202259,0.30222137724525,0.735211805625364,-1
0.814864513894901,0.938057302794793,0.0484632701472997,0.345764892740103,-1
0.89736097884743,0.631513169464952,0.175528122609999,0.939946520838778,-1
0.690640060023663,0.61262053456166,0.315845190616723,0.80280564546935,-1
0.516525264767841,0.851568025085408,0.184969299970186,0.538018456342106,-1
0.848014601910368,0.890127859246315,0.0547588286890807,0.394770703070026,-1
0.825563443280524,0.923501479904358,0.0275846573306314,0.337582178974246,-1
0.781310420454218,0.814168166527594,0.115290386418532,0.594432939946521,-1
0.829985859810117,0.601084390096054,0.266753660886736,0.866109089446913,-1
0.741739531930857,0.763454781531692,0.197964421668474,0.870008444078088,-1
0.798343577756616,0.615486796858337,0.260237304100971,0.854670379380365,-1
0.426016506507373,0.586603404341302,0.550906741908025,0.885351535012767,-1
0.804843736473033,0.41076232848264,0.314847061568575,0.850380988761334,-1
